Product Name,Order YearMonth,Order Quantity,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Inventory to Sales Delta
Adult dog supplies,201602,2.0,201602,3,1.04277,1.0
Adult dog supplies,201603,1.0,201603,2,0.67643,1.0
Adult dog supplies,201711,17.0,201711,19,2.29154,2.0
Adult dog supplies,201712,32.0,201712,2,2.07928,-30.0
Baby sweater,201508,3.0,201508,4,1.27268,1.0
Baby sweater,201509,1.0,201509,1,0.28342,0.0
Baby sweater,201709,1.0,201709,1,1.29588,0.0
Baby sweater,201710,17.0,201710,27,1.52727,10.0
Baby sweater,201711,3.0,201711,10,0.30632,7.0
Bag Boy Beverage Holder,201501,13.0,201501,17,1.7766,4.0
Bag Boy Beverage Holder,201502,6.0,201502,0,0.89859,-6.0
Bag Boy Beverage Holder,201503,17.0,201503,26,0.24919,9.0
Bag Boy Beverage Holder,201504,5.0,201504,9,1.36254,4.0
Bag Boy Beverage Holder,201505,5.0,201505,2,0.31458,-3.0
Bag Boy Beverage Holder,201506,1.0,201506,1,1.30239,0.0
Bag Boy Beverage Holder,201508,3.0,201508,2,1.20987,-1.0
Bag Boy Beverage Holder,201509,4.0,201509,6,1.25379,2.0
Bag Boy Beverage Holder,201510,8.0,201510,1,1.53973,-7.0
Bag Boy Beverage Holder,201511,4.0,201511,3,1.29615,-1.0
Bag Boy Beverage Holder,201512,9.0,201512,15,1.65472,6.0
Bag Boy Beverage Holder,201601,5.0,201601,6,1.51793,1.0
Bag Boy Beverage Holder,201602,9.0,201602,8,0.70249,-1.0
Bag Boy Beverage Holder,201603,4.0,201603,5,1.4573,1.0
Bag Boy Beverage Holder,201604,5.0,201604,8,1.85035,3.0
Bag Boy Beverage Holder,201605,10.0,201605,5,1.91926,-5.0
Bag Boy Beverage Holder,201606,11.0,201606,6,1.12419,-5.0
Bag Boy Beverage Holder,201607,6.0,201607,12,2.3322,6.0
Bag Boy Beverage Holder,201609,4.0,201609,8,1.8319,4.0
Bag Boy Beverage Holder,201610,6.0,201610,2,1.07873,-4.0
Bag Boy Beverage Holder,201612,2.0,201612,0,1.65921,-2.0
Bag Boy Beverage Holder,201702,4.0,201702,0,1.26168,-4.0
Bag Boy Beverage Holder,201703,6.0,201703,11,1.19313,5.0
Bag Boy Beverage Holder,201706,1.0,201706,0,1.76056,-1.0
Bag Boy Beverage Holder,201709,1.0,201709,1,0.60164,0.0
Bag Boy M330 Push Cart,201502,3.0,201502,2,1.6874,-1.0
Bag Boy M330 Push Cart,201703,5.0,201703,9,1.76986,4.0
Bag Boy M330 Push Cart,201704,4.0,201704,6,2.15868,2.0
Bag Boy M330 Push Cart,201705,8.0,201705,8,0.70674,0.0
Bag Boy M330 Push Cart,201706,3.0,201706,0,1.69131,-3.0
Bag Boy M330 Push Cart,201708,5.0,201708,2,1.05887,-3.0
Bag Boy M330 Push Cart,201709,3.0,201709,4,1.39513,1.0
Bridgestone e6 Straight Distance NFL Carolina,201501,12.0,201501,20,1.12155,8.0
Bridgestone e6 Straight Distance NFL Carolina,201503,5.0,201503,10,1.93574,5.0
Bridgestone e6 Straight Distance NFL Carolina,201504,7.0,201504,13,0.14801,6.0
Bridgestone e6 Straight Distance NFL Carolina,201506,3.0,201506,0,2.02634,-3.0
Bridgestone e6 Straight Distance NFL Carolina,201507,10.0,201507,20,0.44583,10.0
Bridgestone e6 Straight Distance NFL Carolina,201509,1.0,201509,0,0.16575,-1.0
Bridgestone e6 Straight Distance NFL Carolina,201511,9.0,201511,13,2.05641,4.0
Bridgestone e6 Straight Distance NFL Carolina,201512,6.0,201512,3,2.21446,-3.0
Bridgestone e6 Straight Distance NFL Carolina,201604,4.0,201604,1,1.49474,-3.0
Bridgestone e6 Straight Distance NFL Carolina,201605,5.0,201605,10,0.38621,5.0
Bridgestone e6 Straight Distance NFL Carolina,201606,12.0,201606,22,1.09614,10.0
Bridgestone e6 Straight Distance NFL Carolina,201607,4.0,201607,4,0.49346,0.0
Bridgestone e6 Straight Distance NFL Carolina,201608,7.0,201608,1,0.22166,-6.0
Bridgestone e6 Straight Distance NFL Carolina,201609,15.0,201609,1,1.83482,-14.0
Bridgestone e6 Straight Distance NFL Carolina,201610,8.0,201610,13,2.24997,5.0
Bridgestone e6 Straight Distance NFL Carolina,201611,5.0,201611,8,0.73005,3.0
Bridgestone e6 Straight Distance NFL Carolina,201612,2.0,201612,4,1.15211,2.0
Bridgestone e6 Straight Distance NFL Carolina,201701,5.0,201701,1,1.77573,-4.0
Bridgestone e6 Straight Distance NFL Carolina,201702,4.0,201702,8,1.84397,4.0
Bridgestone e6 Straight Distance NFL Carolina,201703,6.0,201703,5,0.34205,-1.0
Bridgestone e6 Straight Distance NFL Carolina,201704,2.0,201704,2,1.44117,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201501,5.0,201501,4,1.05527,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201502,3.0,201502,0,2.1347,-3.0
Bridgestone e6 Straight Distance NFL San Dieg,201503,9.0,201503,17,1.44088,8.0
Bridgestone e6 Straight Distance NFL San Dieg,201504,2.0,201504,4,1.63576,2.0
Bridgestone e6 Straight Distance NFL San Dieg,201505,7.0,201505,3,1.30017,-4.0
Bridgestone e6 Straight Distance NFL San Dieg,201506,6.0,201506,6,0.23132,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201507,5.0,201507,2,1.65295,-3.0
Bridgestone e6 Straight Distance NFL San Dieg,201509,3.0,201509,5,1.22189,2.0
Bridgestone e6 Straight Distance NFL San Dieg,201510,5.0,201510,4,1.63545,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201511,3.0,201511,2,1.92142,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201512,4.0,201512,1,0.22158,-3.0
Bridgestone e6 Straight Distance NFL San Dieg,201602,3.0,201602,5,0.49425,2.0
Bridgestone e6 Straight Distance NFL San Dieg,201603,3.0,201603,6,1.47463,3.0
Bridgestone e6 Straight Distance NFL San Dieg,201605,8.0,201605,4,1.5226,-4.0
Bridgestone e6 Straight Distance NFL San Dieg,201606,7.0,201606,0,2.28164,-7.0
Bridgestone e6 Straight Distance NFL San Dieg,201607,5.0,201607,1,1.88289,-4.0
Bridgestone e6 Straight Distance NFL San Dieg,201608,5.0,201608,5,1.5042,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201609,4.0,201609,3,1.33012,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201610,11.0,201610,1,1.44452,-10.0
Bridgestone e6 Straight Distance NFL San Dieg,201611,3.0,201611,3,0.2818,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201612,10.0,201612,9,2.1395,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201701,8.0,201701,6,1.82995,-2.0
Bridgestone e6 Straight Distance NFL San Dieg,201702,3.0,201702,3,1.71477,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201703,4.0,201703,3,0.33193,-1.0
Bridgestone e6 Straight Distance NFL San Dieg,201704,6.0,201704,7,1.86183,1.0
Bridgestone e6 Straight Distance NFL Tennesse,201501,5.0,201501,10,0.94232,5.0
Bridgestone e6 Straight Distance NFL Tennesse,201502,2.0,201502,4,1.10929,2.0
Bridgestone e6 Straight Distance NFL Tennesse,201503,5.0,201503,8,1.96335,3.0
Bridgestone e6 Straight Distance NFL Tennesse,201504,8.0,201504,10,0.16106,2.0
Bridgestone e6 Straight Distance NFL Tennesse,201505,2.0,201505,2,1.32019,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201508,11.0,201508,5,0.99447,-6.0
Bridgestone e6 Straight Distance NFL Tennesse,201509,8.0,201509,13,1.13515,5.0
Bridgestone e6 Straight Distance NFL Tennesse,201512,9.0,201512,1,0.50486,-8.0
Bridgestone e6 Straight Distance NFL Tennesse,201601,8.0,201601,14,2.04903,6.0
Bridgestone e6 Straight Distance NFL Tennesse,201602,8.0,201602,0,1.85393,-8.0
Bridgestone e6 Straight Distance NFL Tennesse,201603,2.0,201603,1,0.90391,-1.0
Bridgestone e6 Straight Distance NFL Tennesse,201606,10.0,201606,10,0.81946,0.0
